grid_lat,grid_lon,hour,day_of_week,crash_count,avg_severity,total_injured,total_killed
10176,-18504,13,5,3,0.0,0.0,0.0
10176,-18504,13,6,3,0.0,0.0,0.0
10176,-18504,14,0,8,0.0,0.0,0.0
10176,-18504,14,1,13,0.46153846153846156,6.0,0.0
10176,-18504,14,2,6,0.16666666666666666,1.0,0.0
10176,-18504,14,3,9,0.0,0.0,0.0
10176,-18504,14,4,9,0.0,0.0,0.0
10176,-18504,14,5,3,0.0,0.0,0.0
10176,-18504,14,6,3,0.0,0.0,0.0
10176,-18504,15,0,4,0.0,0.0,0.0
10176,-18504,15,1,5,0.2,1.0,0.0
10176,-18504,15,2,4,0.25,1.0,0.0
10176,-18504,15,3,4,0.25,1.0,0.0
10176,-18504,15,4,4,0.0,0.0,0.0
10176,-18504,15,5,2,0.5,1.0,0.0
10176,-18504,15,6,2,0.5,1.0,0.0
10176,-18504,16,0,5,0.2,1.0,0.0
10176,-18504,16,1,4,0.25,1.0,0.0
10176,-18504,16,2,4,0.0,0.0,0.0
10176,-18504,16,3,10,0.1,1.0,0.0
10176,-18504,16,4,8,0.5,4.0,0.0
10176,-18504,16,5,7,0.0,0.0,0.0
10176,-18504,16,6,2,0.5,1.0,0.0
10176,-18504,17,0,7,0.14285714285714285,1.0,0.0
10176,-18504,17,1,9,0.2222222222222222,2.0,0.0
10176,-18504,17,2,9,0.1111111111111111,1.0,0.0
10176,-18504,17,3,12,0.08333333333333333,1.0,0.0
10176,-18504,17,4,7,0.0,0.0,0.0
10176,-18504,17,5,3,0.6666666666666666,2.0,0.0
10176,-18504,17,6,2,0.0,0.0,0.0
10176,-18504,18,0,6,0.0,0.0,0.0
10176,-18504,18,1,10,0.1,1.0,0.0
10176,-18504,18,2,10,0.4,4.0,0.0
10176,-18504,18,3,5,0.4,2.0,0.0
10176,-18504,18,4,8,0.0,0.0,0.0
10176,-18504,18,5,4,0.0,0.0,0.0
10176,-18504,18,6,3,0.0,0.0,0.0
10176,-18504,19,0,5,0.0,0.0,0.0
10176,-18504,19,1,5,0.4,2.0,0.0
10176,-18504,19,2,8,0.0,0.0,0.0
10176,-18504,19,3,4,0.0,0.0,0.0
10176,-18504,19,4,6,0.16666666666666666,1.0,0.0
10176,-18504,19,6,1,1.0,1.0,0.0
10176,-18504,20,1,4,0.25,1.0,0.0
10176,-18504,20,2,1,0.0,0.0,0.0
10176,-18504,20,3,2,0.5,1.0,0.0
10176,-18504,20,4,2,0.0,0.0,0.0
10176,-18504,20,5,2,0.5,1.0,0.0
10176,-18504,20,6,2,0.0,0.0,0.0
10176,-18504,21,0,2,0.5,1.0,0.0
10176,-18504,21,1,3,0.3333333333333333,1.0,0.0
10176,-18504,21,2,5,0.0,0.0,0.0
10176,-18504,21,3,5,0.0,0.0,0.0
10176,-18504,21,5,5,0.4,2.0,0.0
10176,-18504,21,6,4,0.25,1.0,0.0
10176,-18504,22,0,2,0.5,1.0,0.0
10176,-18504,22,1,1,0.0,0.0,0.0
10176,-18504,22,2,5,0.4,2.0,0.0
10176,-18504,22,3,6,0.0,0.0,0.0
10176,-18504,22,4,3,0.0,0.0,0.0
10176,-18504,22,5,3,0.6666666666666666,2.0,0.0
10176,-18504,22,6,1,0.0,0.0,0.0
10176,-18504,23,0,2,0.0,0.0,0.0
10176,-18504,23,1,3,0.0,0.0,0.0
10176,-18504,23,2,1,1.0,1.0,0.0
10176,-18504,23,3,1,0.0,0.0,0.0
10176,-18504,23,4,2,0.0,0.0,0.0
10176,-18504,23,5,2,0.0,0.0,0.0
10176,-18504,23,6,4,0.0,0.0,0.0
10176,-18503,0,0,3,0.0,0.0,0.0
